"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BinhPhuoc,28/07/2018,143980,72192,75147,90635,33413,99400,03065,32285,71228,04913,18924,15395,5365,0789,6060,6532,122,60
BinhPhuoc,21/07/2018,638961,88156,14231,69359,92915,54003,23430,01584,32269,97501,66660,37091,1136,3338,9974,9429,001,83
BinhPhuoc,14/07/2018,484979,48259,78257,09883,74891,65378,86192,91067,35676,40371,55177,81222,7017,4483,5920,5176,712,03
BinhPhuoc,07/07/2018,949304,70394,98758,31364,82512,58587,46232,59640,49114,82785,09025,53424,4960,0874,0891,7653,483,61
BinhPhuoc,30/06/2018,471250,84429,61718,46059,73913,81420,50734,21393,14927,34711,83204,09433,3533,5871,2486,2243,926,65
BinhPhuoc,23/06/2018,414760,62729,94732,02723,16756,56191,31673,49836,91431,03992,96308,66006,1143,9951,9424,8232,183,52
BinhPhuoc,16/06/2018,272437,77828,71520,19567,76466,45048,59481,08749,18839,34248,84056,11190,4591,7432,9171,2798,806,11
BinhPhuoc,09/06/2018,539487,99465,28244,90626,99946,58706,55635,31282,31719,76470,10901,92829,9029,7622,8083,4843,278,06
BinhPhuoc,02/06/2018,063684,86146,62124,14682,26942,16496,48486,16729,24609,07449,34021,79358,3374,7896,1662,8857,772,86
BinhPhuoc,26/05/2018,907183,52522,90474,00111,06782,39378,43576,87635,00406,60658,71665,83310,7882,6687,0387,5796,878,20
BinhPhuoc,19/05/2018,055443,62785,40793,95763,39098,73979,68517,13135,65355,44527,87510,40813,1333,2792,7334,7512,543,73
BinhPhuoc,12/05/2018,260083,50886,30070,05372,72401,65942,07862,08658,95400,44921,86284,85659,5459,2401,3299,1381,861,70
BinhPhuoc,05/05/2018,664905,79999,87111,50955,41193,84710,05606,78237,97939,99657,89430,71291,7285,1695,9928,8916,965,67
BinhPhuoc,28/04/2018,893361,97961,23134,76685,57234,53431,58121,24378,10720,67531,58510,67718,1349,0627,5615,1246,890,89
BinhPhuoc,21/04/2018,964150,72396,61269,98643,96927,67431,88483,64618,66454,97344,04952,99975,7255,2010,4935,8527,905,21
BinhPhuoc,14/04/2018,847610,57496,62329,78873,73891,29221,87377,99280,72868,04245,95500,16665,6867,6242,6606,7086,657,01
BinhPhuoc,31/03/2018,648091,84843,46764,36894,16239,06145,97625,38664,14860,27520,96051,60448,7246,6224,7303,8428,872,35
BinhPhuoc,24/03/2018,339723,17056,46787,70972,26284,83076,27909,84288,83674,42563,36737,94825,1258,4085,2244,0208,567,60
BinhPhuoc,17/03/2018,414986,42713,94827,20722,30420,52929,51176,00741,79034,87483,62345,99413,6416,8400,6489,1360,530,82
BinhPhuoc,10/03/2018,498187,94733,00620,45735,23534,65651,98922,40531,52907,08967,44578,86978,8637,2300,7338,6756,593,03
BinhPhuoc,03/03/2018,045742,18660,46488,66432,72247,35942,57888,67976,36181,04067,09333,23212,7450,5608,4317,7694,153,59
