"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
VinhLong,06/07/2018,022682,62980,27679,91348,03565,15591,54880,18879,90310,80263,91073,51748,6900,7078,6889,6010,006,99
VinhLong,29/06/2018,851690,28164,27054,38581,14515,90577,11646,96791,70865,90734,03743,37877,6232,5147,6168,5675,796,71
VinhLong,22/06/2018,064887,68337,40802,42466,69814,41030,17515,50370,73720,21997,47658,07049,9064,5516,7834,8476,667,76
VinhLong,15/06/2018,274750,78281,55479,38789,57594,59259,75208,88320,06184,56449,76490,44700,8855,0757,0976,7786,951,70
VinhLong,08/06/2018,352720,72821,07512,71029,96000,44818,16042,78759,54441,93566,13177,08548,3532,0137,7912,4821,145,35
VinhLong,01/06/2018,964617,52978,29790,76521,22232,24710,04360,71091,40187,27942,04386,57998,0376,4396,6738,2011,433,78
VinhLong,25/05/2018,934328,94594,10917,11263,58077,66763,80974,89550,80172,61695,95040,80192,5939,3780,7858,3640,750,07
VinhLong,18/05/2018,014217,37427,94950,70861,88032,33667,88817,12891,10869,53596,73419,43164,8955,4776,4761,1075,165,36
VinhLong,11/05/2018,895054,81352,46047,12039,44360,26075,88528,64495,11137,64648,67412,46023,3696,3620,1082,1862,033,85
VinhLong,04/05/2018,344846,25485,69329,81525,22977,82151,99334,34642,61157,96000,11589,23801,9740,8785,3400,0110,713,84
VinhLong,27/04/2018,809812,56744,72178,23956,61105,50502,97572,22202,35480,36306,06364,56239,2045,5426,1172,2413,156,82
VinhLong,20/04/2018,100457,53683,74694,99818,09407,25184,35411,65994,49700,07258,33521,21505,4364,5741,1613,4103,783,09
VinhLong,06/04/2018,671325,92583,23308,05923,55741,37340,10936,59845,99254,16968,13520,97786,2067,4495,1440,9798,271,45
VinhLong,30/03/2018,741047,84259,84970,35336,35129,75297,13993,78212,61974,47791,12232,59195,4313,9028,3816,0464,304,53
VinhLong,23/03/2018,107495,20166,17429,85041,91359,81854,91683,02972,68099,33178,70529,26583,9537,1353,6983,3264,602,94
VinhLong,16/03/2018,450684,87403,82615,45153,12737,30756,13228,71531,11385,71282,96750,35534,0926,1296,7907,9093,786,02
VinhLong,09/03/2018,771324,34399,24432,43717,75640,06993,81891,58163,15801,39808,89940,53569,4351,4190,7125,0183,663,03
VinhLong,02/03/2018,712654,48510,39378,19523,49442,15707,62791,24266,21924,96961,67463,68322,3398,8252,9994,6937,683,33
VinhLong,23/02/2018,129277,82825,98745,90467,78815,44767,39743,97215,20453,51818,87975,26390,4636,9862,1142,0400,726,94
VinhLong,16/02/2018,999138,81027,02697,24454,95477,97085,60827,30931,83076,81265,90671,93598,9100,5943,9325,1785,647,07
VinhLong,09/02/2018,323775,07209,59702,48393,08019,57581,15065,69663,21056,83275,75222,59694,1012,2219,2471,0131,117,90
VinhLong,26/01/2018,619355,12996,46024,93331,93129,63623,00378,85145,33667,90121,64854,20711,5133,6752,5905,1873,696,09
VinhLong,19/01/2018,223090,63635,74827,78475,01820,11022,68657,64838,88242,17570,35203,98325,0514,7636,8751,7797,560,87
VinhLong,12/01/2018,344216,05347,32752,35017,13540,51476,26053,46318,06132,99055,54590,13029,4671,1939,1813,5736,700,74
VinhLong,29/12/2017,619390,83170,47870,04763,92626,10266,63030,16036,16888,07935,00458,64245,1630,8608,9883,6422,313,36
VinhLong,22/12/2017,926400,33755,95730,98306,02325,83057,96828,19641,29465,94134,08081,42138,8205,7476,5729,1990,979,69
VinhLong,15/12/2017,849517,47519,42094,92487,30961,92761,99367,73833,97709,97141,59701,87824,1447,2216,3691,7741,189,10
VinhLong,08/12/2017,856288,55960,50764,85346,99076,06514,71954,29319,60552,96023,10800,64957,6097,6509,4135,8610,138,08
VinhLong,01/12/2017,215595,83664,69965,19587,00755,72084,20342,33964,13077,98049,14096,24397,8198,4244,1205,2099,764,73
VinhLong,24/11/2017,911717,47433,54794,98290,29466,61365,77030,56295,89691,80853,60730,71876,3918,2162,8168,4779,984,29
VinhLong,10/11/2017,365676,10684,10252,55346,54996,08529,42941,90097,27242,08551,01758,82994,7573,1946,7604,4143,870,33
VinhLong,03/11/2017,506266,44721,02717,50872,36333,70083,35311,65683,55675,17732,96967,58998,8435,3158,7312,1039,132,64
VinhLong,27/10/2017,313530,11432,58925,91560,48423,84040,40961,32296,10612,23178,70809,66768,0216,6527,7930,5829,338,93
VinhLong,20/10/2017,937989,34659,13000,73535,04287,25287,64102,80505,41178,55658,33436,37722,1273,8918,3437,0144,309,55
VinhLong,13/10/2017,701051,77507,31485,52013,72359,32497,62187,31428,65128,16957,91118,81427,2958,3889,9366,2312,938,65
VinhLong,06/10/2017,791587,38378,56236,81184,66753,74129,75277,34580,18980,95576,62056,70349,6078,5330,8627,6066,395,29
VinhLong,29/09/2017,275720,68694,23766,12195,48629,20066,88344,07820,34919,45362,61718,93024,8537,7041,0635,6561,886,77
VinhLong,15/09/2017,623442,07345,52232,96417,96283,67317,47916,34213,17791,49476,56807,81773,5076,1054,8192,6908,300,92
VinhLong,08/09/2017,128793,52910,80427,45966,42585,83377,49777,54951,68511,83047,12847,80169,8549,2972,3326,3067,217,41
VinhLong,25/08/2017,273825,41881,18429,74318,05335,63980,23915,05658,65498,12243,17073,25753,7287,7306,0359,9069,237,74
VinhLong,18/08/2017,435817,94904,01007,06783,60508,01698,46292,98816,02932,62486,17153,29290,3120,1890,4596,2459,892,40
VinhLong,11/08/2017,951063,71302,30813,18708,20437,13745,07793,12598,07858,84099,26300,71809,9873,7918,8481,8812,549,86
VinhLong,28/07/2017,014294,43082,31712,93381,74173,83599,76675,67633,61754,56634,64078,78497,0982,5405,3147,7413,689,95
VinhLong,21/07/2017,177680,38361,71139,63947,39304,23820,92403,88857,70550,89895,39100,34840,5217,6243,0798,6689,984,94
VinhLong,14/07/2017,689660,54943,55469,34580,94066,09668,18643,49776,64238,51157,76789,65906,0618,0965,9181,0618,918,30
VinhLong,07/07/2017,974193,72037,62807,88864,20402,62942,22483,17012,45042,15934,45688,68383,3987,0526,9478,3491,876,91
VinhLong,30/06/2017,505417,47120,17690,27447,58355,19103,50080,33739,84402,16314,14772,08106,7935,1338,0463,4646,800,78
VinhLong,23/06/2017,479128,19924,80986,50740,02940,53530,65495,94764,52432,44947,45857,88167,1549,0867,4843,4484,897,93
VinhLong,16/06/2017,942906,44560,77354,34366,60856,83953,17627,48566,69060,80352,50168,99099,6845,5967,4589,7691,335,09
VinhLong,09/06/2017,534953,12620,81382,83151,67162,06674,89606,77592,88913,64461,98952,81794,6841,6542,2655,1549,619,44
VinhLong,02/06/2017,686237,98829,49113,16816,44975,21428,57610,87430,41238,17130,73311,41776,8715,8621,4077,4816,057,23
VinhLong,19/05/2017,694558,38252,01883,91761,12275,43904,97184,50332,91082,16111,72984,21204,5023,0398,6031,8556,342,78
VinhLong,12/05/2017,074306,67029,12287,85466,37163,39301,55726,20346,88331,85895,58578,36875,8782,9517,6047,8266,718,27
VinhLong,05/05/2017,300182,60337,68519,19657,98103,70102,62741,74937,62770,63456,79277,67101,0986,1668,0742,1055,059,57
VinhLong,28/04/2017,410493,92656,17200,10867,86779,49077,47727,83950,84385,83105,55634,39827,8329,5931,1155,8593,427,66
VinhLong,21/04/2017,912779,32385,98231,31035,12195,28089,73657,75905,22431,19556,63037,39370,0586,1669,1450,7792,914,84
VinhLong,14/04/2017,702181,65469,16492,29266,26744,14060,64924,00369,52146,96765,99677,72650,7230,7026,1595,6047,825,56
VinhLong,07/04/2017,788129,42020,30118,88733,44704,49756,61668,04645,07866,38155,98361,39674,6655,8863,5206,6356,510,18
VinhLong,31/03/2017,275320,65921,45193,85620,03924,78748,93563,21442,22190,94914,69102,46874,9390,9671,8089,8261,826,42
VinhLong,24/03/2017,232758,80820,14213,63897,60266,59417,42349,38934,71844,78842,08712,57143,7403,2094,4597,6213,318,03
VinhLong,17/03/2017,076903,88861,45074,29259,73628,55481,48882,10074,24557,84384,42533,92441,0647,4688,2864,4824,921,79
VinhLong,10/03/2017,728359,01275,96280,43850,57835,82850,70712,65193,95603,64012,14222,20887,6923,8852,2280,0202,339,73
VinhLong,03/03/2017,401739,07836,28640,60887,81702,00867,34884,91444,16474,11050,84068,41730,4186,8388,7978,4488,667,87
VinhLong,24/02/2017,246761,21640,84061,24074,80648,22448,80103,65913,61784,67937,69877,11888,0270,3000,2275,7936,407,00
VinhLong,17/02/2017,833211,73261,01502,76824,60194,62143,42431,25152,70962,19407,88938,46458,0504,1707,9919,3376,681,51
VinhLong,10/02/2017,028867,18331,59267,08284,69518,92025,80952,35839,51668,91600,28576,67481,4131,2359,6962,6013,374,89
VinhLong,03/02/2017,276349,87972,95321,32948,64273,05402,74156,33029,11229,37993,63736,83209,9663,0125,4874,4178,089,47
VinhLong,27/01/2017,622666,84806,95501,66803,72414,95010,98670,17313,85505,48373,82963,36778,0475,9538,0562,1888,829,77
VinhLong,20/01/2017,791796,01070,48035,37698,11920,92660,58846,81275,57637,89264,09658,95748,0660,0601,3265,9219,266,12
