"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
TayNinh,2018/07/26,929814,17613,45474,86608,01270,00815,41529,90541,17081,17804,08825,88323,2411,7188,2822,5060,103,92
TayNinh,2018/07/19,019629,91278,28990,13253,68007,56728,51765,61907,45662,39498,73304,40652,2673,2383,2621,3103,111,09
TayNinh,2018/07/12,930945,42216,47776,35486,50726,34691,80585,24786,69588,78722,40471,55065,2179,0802,6753,5156,084,44
TayNinh,2018/07/05,557238,49316,49939,37593,12812,62010,34983,39952,02996,11528,53051,40501,4288,8840,1991,9114,490,23
TayNinh,2018/06/28,834267,55069,57264,74139,29950,86606,56139,41393,16367,62385,06340,91425,0525,0631,8912,3242,159,98
TayNinh,2018/06/21,128772,70428,99613,96666,06111,22311,44352,37957,22300,55441,09036,36459,8192,2113,9906,8955,216,21
TayNinh,2018/06/14,160628,20581,51328,75213,43834,04593,49681,13122,75265,47257,42886,08337,2908,6521,9566,2425,503,26
TayNinh,2018/06/07,501566,99477,83283,62868,44444,32358,72143,47148,52704,21514,78632,81665,6117,4170,0819,6348,173,56
TayNinh,2018/05/31,719267,41419,02209,03547,05164,14504,46474,09096,81406,60675,24380,46519,4906,6900,0917,3345,181,69
TayNinh,2018/05/24,598291,85282,47429,38847,18065,15934,29619,04654,96746,41170,98994,89288,3702,8908,6583,8954,586,60
TayNinh,2018/05/17,268378,27535,31074,23103,72148,69375,10092,59277,86682,56008,38743,96116,3379,3518,0591,6093,967,88
TayNinh,2018/05/03,281533,23176,82382,32127,39143,31471,50394,77260,02009,22903,97308,89899,5423,4239,3652,9645,767,83
TayNinh,2018/04/26,434112,74949,14690,90649,15646,76444,11187,00395,22880,49301,04512,36088,0359,9432,4348,3548,839,46
TayNinh,2018/04/19,039146,13376,22834,59611,07396,42256,53537,32806,51307,65810,82749,87994,5784,6096,4991,4444,756,53
TayNinh,2018/04/12,756582,71253,16732,34368,29441,62583,90483,76630,43069,18671,40597,94890,0109,8364,6157,5122,536,20
TayNinh,2018/04/05,212706,35583,04754,87129,04415,91803,99711,16945,47932,18132,48189,80168,4692,4132,5905,1180,862,77
TayNinh,2018/03/29,091415,79329,47341,55918,80228,12461,43545,18817,97714,64098,07052,19123,0660,5432,4442,1032,627,11
TayNinh,2018/03/22,469617,14703,48958,34079,15324,58750,88089,91348,10801,12585,28574,10744,0915,6536,8425,3963,521,37
TayNinh,2018/03/15,476705,91030,97189,40714,53259,14274,32545,48822,82768,27250,12756,93946,4823,4945,1597,3615,460,94
TayNinh,2018/03/08,590147,10993,80503,92162,36018,07044,95334,36162,85663,06895,50759,91655,6498,8884,3052,7592,583,54
TayNinh,2018/03/01,134302,87606,93283,92331,66891,00969,02855,89632,83603,96766,69650,38313,6166,1656,9627,6144,323,74
TayNinh,2018/02/22,317773,78825,99418,75931,55425,76849,00605,59073,01629,46468,41436,22713,6322,6188,1213,0004,028,69
TayNinh,2018/02/15,009059,13846,87471,74983,21502,93831,57150,95981,35128,04088,05344,62766,3395,6868,1549,8170,510,33
TayNinh,2018/02/08,086030,25099,01205,91458,98261,32477,45734,37535,78903,71238,11106,91653,1234,5278,2450,6878,931,92
TayNinh,2018/02/01,968311,16241,87024,16847,38243,10935,61219,16775,05139,01768,90563,15279,2704,4342,8866,0035,475,94
TayNinh,2018/01/25,535820,77145,09487,73189,31409,01008,61541,30201,68879,40047,08828,02831,7092,7175,3498,6675,086,89
TayNinh,2018/01/18,827733,31503,79115,02586,86411,61237,58967,91649,91324,83626,21901,69768,9155,0822,8463,7535,822,14
TayNinh,2018/01/11,534847,35909,25914,58444,93080,36533,74577,59041,55677,04579,16253,73577,6548,4510,3379,2610,605,32
TayNinh,2018/01/04,553682,56853,65899,98862,44453,42930,55103,27786,96363,44319,71739,76282,1982,6948,7463,7458,643,50
TayNinh,2017/12/28,710034,85984,46094,05547,90327,83538,11735,97037,03831,01308,63129,17339,1198,5679,8461,8121,686,79
TayNinh,2017/12/21,934664,57730,51729,94995,53531,35103,08018,35070,08009,91350,63044,65067,9384,1882,8232,0671,503,91
TayNinh,2017/12/14,053854,47765,80958,87690,13941,02868,96208,65924,91875,23524,26459,74771,7361,0719,3501,5453,486,96
TayNinh,2017/12/07,312379,25913,99444,27459,91291,76556,78096,46603,44695,39843,38798,66369,2555,5788,7094,0824,821,98
TayNinh,2017/11/30,369910,13749,51966,69724,79867,69004,03705,13116,79419,16729,04008,53123,0426,1889,6495,7158,957,68
TayNinh,2017/11/23,289742,13177,15729,91701,89427,89811,94456,57540,59265,48611,37667,33422,1017,3761,1475,2040,652,83
TayNinh,2017/11/16,497822,79195,22476,21371,08044,18164,61208,26975,48840,05709,21946,46629,4435,9521,3436,6822,419,47
TayNinh,2017/11/09,086155,48018,20619,72700,83178,40638,13270,77109,32149,77197,69507,89428,2806,5504,8948,2224,468,66
TayNinh,2017/11/02,975427,24628,94606,33969,13816,89089,97555,34720,64725,07058,26904,72902,0977,5375,5252,4726,884,38
TayNinh,2017/10/26,834019,49631,77737,23768,98569,54710,48092,87701,02882,82529,54412,03485,8398,6850,5406,6084,612,06
TayNinh,2017/10/19,421040,65194,10575,03846,17519,34960,78834,95441,85266,20985,84915,73247,9116,2516,2358,0710,023,48
TayNinh,2017/10/12,935598,66005,87952,06497,68975,53614,85808,33217,89275,89980,93231,11937,2006,5288,7909,2375,474,37
TayNinh,2017/10/05,794569,31979,86472,12422,08396,61074,00499,26414,23308,48935,64709,95235,0885,0632,7233,9318,277,02
TayNinh,2017/09/28,529751,59034,96347,52943,08621,17185,08808,50550,23849,55468,48292,70858,9687,9897,2637,8283,518,32
TayNinh,2017/09/21,513479,94178,45845,11592,73324,82230,53395,64231,39582,55349,67443,50017,7087,0087,0589,4090,830,38
TayNinh,2017/09/14,753080,99062,59523,44706,27353,21013,75438,09205,54884,95163,89617,24560,6651,6144,5013,3349,752,07
TayNinh,2017/09/07,557153,09726,97891,67490,10895,95100,99653,89329,41318,71696,99509,24236,6178,3197,3504,8055,083,28
TayNinh,2017/08/31,536343,01226,49994,46127,41948,54512,25426,99151,98483,49045,88985,36889,3884,8579,4432,8498,565,89
TayNinh,2017/08/24,995185,75691,15770,74748,64932,39787,56112,97661,97086,92816,09529,60168,7402,7760,6054,0734,518,19
TayNinh,2017/08/17,129617,06026,35861,49932,26647,42587,96925,94104,81147,66998,38403,43016,7507,1611,1896,5000,251,00
TayNinh,2017/08/10,941849,52431,51127,86084,87851,85768,32220,33771,76664,88759,82008,56183,6724,1323,2318,6957,068,37
TayNinh,2017/08/03,069871,30980,64863,05240,18638,27412,30990,26224,62214,77095,42999,11245,3413,9935,8825,6920,293,38
TayNinh,2017/07/13,407445,78850,95850,89804,97359,72052,01243,69732,98147,40991,69996,07427,9360,6531,7346,3667,269,94
TayNinh,2017/07/06,657308,30883,80031,86562,55215,82048,96517,77297,67914,25795,59423,33071,3869,3020,4979,9880,027,79
TayNinh,2017/06/29,227877,26792,77009,09350,58001,43369,23784,40952,92932,75564,90879,76013,9344,8781,7799,9889,493,28
TayNinh,2017/06/22,711201,31302,11878,31426,53888,93186,74607,95902,21480,78907,17945,03884,7992,8680,1966,3844,219,22
TayNinh,2017/06/15,663795,90101,05866,30760,51667,27345,81829,58297,14507,37633,64118,52158,3725,4052,5987,7537,482,26
TayNinh,2017/06/08,194868,32822,04378,85879,92695,10754,67599,40440,23301,49776,61468,39443,7650,5279,1533,9857,633,62
TayNinh,2017/06/01,293158,91604,64666,74657,75069,74196,40135,41020,42167,31220,52287,87779,8403,9454,4837,2224,488,87
TayNinh,2017/05/25,420703,36750,21505,85859,29136,31815,29531,80995,52530,20281,73757,55658,4592,3481,3053,7154,910,34
TayNinh,2017/05/18,691148,44737,31465,72282,73469,81382,50968,88342,53138,78265,96081,00895,6467,3771,0348,3094,624,97
TayNinh,2017/05/11,250494,26299,45328,72281,91810,96360,95827,72245,23312,60513,49879,55160,1070,3806,8475,5115,272,24
TayNinh,2017/05/04,319548,29682,75722,12790,91225,41544,64413,72840,01165,24562,79247,94493,0296,5324,6533,3986,001,85
TayNinh,2017/04/27,867358,19011,75306,61588,15877,16979,58842,32618,16100,34637,34101,98113,8652,1299,9447,1138,324,48
TayNinh,2017/04/20,160207,35753,34209,44604,62625,34326,99874,25881,63402,26476,17290,42238,4717,8617,7647,3115,554,88
TayNinh,2017/04/13,148212,33658,50742,50978,11905,12420,41213,28446,75591,39617,88624,67818,3854,3686,3318,4213,979,37
TayNinh,2017/04/06,883743,08704,76001,87817,93396,75019,68448,51231,32515,83847,66737,60725,9553,1218,7313,5631,644,24
