"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2018/06/08,680039,46242,61975,71447,75779,09195,25617,13048,32594,87438,01855,14183,7510,1853,1700,3055,142,16
NinhThuan,2018/06/01,496578,37375,29752,42581,95646,73952,84701,82089,54750,20186,69153,97271,2812,3985,7563,3523,246,84
NinhThuan,2018/05/25,511400,48952,82518,67317,72895,13262,31766,10137,54466,21724,06376,37035,3119,4160,7194,2488,372,34
NinhThuan,2018/05/18,345783,89219,81598,96735,67056,02690,96072,85548,11037,84255,99485,88020,1342,0134,0070,1009,744,82
NinhThuan,2018/05/11,345309,65147,26362,72372,65554,15192,36824,80730,95574,45283,65038,96123,1676,4002,5208,4004,124,81
NinhThuan,2018/05/04,231767,06498,52146,71236,65623,26817,09655,20640,02520,63111,47650,52963,9679,7276,2815,4649,094,67
NinhThuan,2018/04/27,850523,86885,79597,70035,39901,80809,90004,47513,41883,51240,35057,84337,9219,7523,1701,6486,300,82
NinhThuan,2018/04/20,407773,41877,89947,21294,24393,00540,39544,60840,97122,94185,49581,31190,7806,7144,7331,5138,888,17
NinhThuan,2018/04/13,175677,04055,55317,90102,56292,32619,59824,24364,23628,93480,52368,20302,9065,3748,1640,8041,637,42
NinhThuan,2018/04/06,925187,71193,40572,61954,77598,48602,49063,83123,82562,66772,50665,08419,1645,0519,2347,8386,983,34
NinhThuan,2018/03/30,871647,53318,24961,03457,82289,30508,20217,63156,96504,64179,32629,62949,3876,0022,6143,7663,297,88
NinhThuan,2018/03/23,215303,27910,87479,13108,88295,12501,90166,74860,87742,63952,94257,15816,7187,0927,7531,9584,830,83
NinhThuan,2018/03/16,200421,33091,35142,56685,25550,41768,40321,31167,01732,73369,86625,05428,8150,9264,6743,6241,439,99
NinhThuan,2018/03/09,495680,39210,07243,85941,81616,03960,32018,79620,99155,87244,32582,03433,6796,4024,4030,1388,933,43
NinhThuan,2018/03/02,639375,75591,55340,16691,12456,59426,70384,97118,62094,38989,05449,45919,4691,6180,2110,7107,482,56
NinhThuan,2018/02/16,406386,65263,52366,29282,76864,05385,87444,47831,02880,96785,79099,43567,1009,1728,8816,7669,678,55
NinhThuan,2018/02/09,123210,61581,13612,09209,80924,35938,61582,09771,80339,85621,30725,94943,1420,1579,3297,9948,788,51
NinhThuan,2018/02/02,206563,86062,34799,89521,35512,53398,91372,72710,67977,23329,32090,98854,6073,0927,6949,7853,791,80
NinhThuan,2018/01/26,641164,02350,35662,93384,30367,77836,66843,12939,81652,79901,08948,97737,9024,1224,5062,7703,492,32
NinhThuan,2018/01/19,827401,98794,15151,45766,18977,09984,52158,19819,78121,95497,67366,06485,8426,7491,8023,7198,400,12
NinhThuan,2018/01/12,721517,36842,42610,91597,29228,56551,49773,70770,41587,92597,21269,30555,3188,6790,1868,2206,818,37
NinhThuan,2018/01/05,315825,53758,61095,83656,87065,84808,63379,00129,94120,81876,65555,58520,6269,4972,5183,8364,287,73
NinhThuan,2017/12/29,512784,00676,30724,41810,47709,41108,00309,53402,90247,27526,58301,51940,9002,8425,8347,1110,006,19
NinhThuan,2017/12/22,857310,78998,58444,47725,12355,67900,59804,24119,77277,04986,07645,66871,6649,7716,7430,5490,579,11
NinhThuan,2017/12/15,514104,25097,89499,56423,40339,36679,73817,62302,18047,61245,61479,55351,7770,7831,6132,9772,949,48
NinhThuan,2017/12/08,368115,60453,00303,69094,17348,61287,64616,41437,16312,56651,48967,33538,3417,1687,9693,2424,735,88
NinhThuan,2017/12/01,978036,62483,25884,58462,17907,60189,85636,91673,79064,46032,34804,90886,2887,0899,7614,7624,132,29
