"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
DacNong,2018/06/15,431415,03579,98067,93815,79693,47311,25373,84112,60566,43885,56588,72999,2647,8646,9821,4765,139,34
DacNong,2018/06/09,150959,77986,72933,70904,08186,43161,33079,95842,76461,18318,05789,54424,6065,1199,2674,4660,189,12
DacNong,2018/06/02,758055,40888,74090,68749,46936,45810,69872,95489,68310,08328,53970,51588,8091,5721,8924,6865,369,25
DacNong,2018/05/26,407624,17926,30490,71671,39600,58883,59857,42957,74196,98230,77800,50202,1051,8521,5215,4936,433,12
DacNong,2018/05/19,974326,69541,49059,47453,07832,40194,02625,77628,52291,18228,24470,27285,7551,3696,2028,3970,748,98
DacNong,2018/05/12,067832,11946,46261,95425,20482,79984,98890,57958,40100,47365,14715,37755,3788,1488,7295,4148,877,00
DacNong,2018/05/05,235022,30884,72275,27496,25648,22956,56851,61582,84559,26894,89145,89507,9781,3431,3890,2282,176,11
DacNong,2018/04/28,230235,40128,44811,92601,96167,38253,04496,74333,16479,20203,51669,18559,7636,0856,0260,8642,410,52
DacNong,2018/04/21,333320,34092,87501,57630,07389,56230,46567,75199,52349,65554,84061,17036,6086,4120,4087,5290,669,62
DacNong,2018/04/14,753586,73214,90237,81570,18146,12578,04891,53015,55124,65511,87971,87726,7763,9139,5911,1291,697,89
DacNong,2018/04/07,667930,71298,76825,63394,79824,42967,05038,62658,99695,44160,75150,63626,2344,4821,8874,0799,916,22
DacNong,2018/03/31,257133,20361,06090,39364,85988,75213,23099,55558,88127,98026,21167,46772,8025,8136,4137,8875,564,39
DacNong,2018/03/24,723164,49432,44433,90803,41811,58037,41923,33227,49742,31665,27654,45234,0702,0398,2409,9188,522,00
DacNong,2018/03/17,777872,69550,34805,58376,56912,11946,70207,27028,40709,42843,80955,30976,9930,2618,7814,2395,607,02
DacNong,2018/03/10,762433,61657,28358,55411,34840,16549,64704,31186,72851,43627,47179,40442,5070,9331,4595,9662,907,25
DacNong,2018/03/03,853253,93545,57170,33374,21866,05859,50665,16527,44442,51063,56037,07157,0051,6237,6390,4053,677,66
DacNong,2018/02/24,857871,53008,97355,16615,05124,41969,16877,07031,10418,55239,07331,94385,6728,4395,1250,3754,109,16
DacNong,2018/02/17,620285,62379,04021,52718,80248,07450,22667,65316,57264,44515,66888,19265,5621,6652,3980,2650,671,96
DacNong,2018/02/10,371139,56838,56267,39637,46287,96602,41675,54993,33111,03632,13852,66972,0774,3665,2728,0846,408,06
DacNong,2018/02/03,647341,12764,09131,45289,60640,96163,37040,21819,76072,68700,63248,34239,6809,9510,4910,3293,259,59
DacNong,2018/01/27,962139,07596,84150,69619,16069,80025,27611,96538,78091,68025,81770,47686,1513,1152,0797,1175,485,67
DacNong,2018/01/20,369692,01486,46503,42466,76112,42618,26471,97991,03623,05651,62106,68897,1737,1200,1918,3118,199,79
DacNong,2018/01/13,330533,97971,81474,50875,08047,38171,78449,23473,30655,47248,30938,36414,8400,9103,6156,6279,661,26
DacNong,2018/01/06,109803,01342,84355,59049,96487,08839,12660,34433,32957,25868,98187,14206,8504,1596,6012,8524,499,52
DacNong,2017/12/30,024926,88614,53992,38587,08988,88038,95110,09298,42173,92619,02532,83781,8748,4734,0557,4480,855,09
DacNong,2017/12/23,409051,43415,99047,11002,45001,28194,60654,22967,65266,65741,63904,50930,9839,0952,0756,6824,608,58
DacNong,2017/12/16,059190,65176,94595,56928,01128,94367,68655,11556,94290,56738,78201,30731,0297,8134,7348,6027,215,36
DacNong,2017/12/09,598689,90687,21584,17010,10013,68121,91961,26760,17864,29437,30863,90307,3341,7026,8972,0749,703,05
DacNong,2017/12/02,407956,91273,46194,16873,81621,96785,00410,89396,28741,67282,37149,21444,3333,8077,4561,3930,318,34
DacNong,2017/11/25,572949,70406,05996,99406,66977,64651,28309,07550,05659,07281,27207,32097,8631,6525,7379,5495,407,24
DacNong,2017/11/18,231678,07326,23849,27748,99245,15913,65345,38081,33036,74221,89359,06176,5860,0931,7631,8833,055,74
DacNong,2017/11/11,548272,33742,39013,31984,81394,23457,36843,92593,48531,91074,27451,08897,2310,7491,9765,3746,432,30
DacNong,2017/11/04,746498,43492,66416,41585,39611,48087,42738,69528,66142,53740,61509,50319,2539,2141,6701,0838,906,23
DacNong,2017/10/28,259876,15457,28116,67180,42233,45025,18787,72026,40979,14802,67036,45510,5738,3951,5115,6638,213,37
DacNong,2017/10/21,873712,69542,39856,35863,22236,47299,45434,09450,98614,18230,79622,40666,1758,0387,5306,0345,432,70
DacNong,2017/10/14,921955,84644,99817,28937,28702,52215,27556,59439,38197,91577,93948,06615,5741,6740,8985,4848,397,63
DacNong,2017/10/07,394902,78808,31225,11294,93649,47141,97919,44176,38117,75960,18383,26084,3510,3284,4278,9202,058,00
