"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
KonTum,2018/07/29,368878,03753,81259,07237,67047,39542,36332,68240,57190,27080,68055,82269,6074,6586,0607,8113,331,29
KonTum,2018/07/22,038913,98705,81361,29496,76542,47993,55313,53866,36683,57224,85708,11447,6904,4592,6257,2937,685,04
KonTum,2018/07/15,844728,48447,64876,78572,17731,00839,73389,83813,00417,32106,75030,86895,7100,7075,2117,6116,781,72
KonTum,2018/07/08,798496,41042,01109,05754,78679,68277,11749,45918,64314,36356,52054,91017,2448,3838,0900,2427,865,75
KonTum,2018/07/01,075025,44010,21218,23849,66305,58843,67441,52315,85006,47378,22154,35342,9913,3426,3637,0444,240,15
KonTum,2018/06/23,058380,23151,61141,69444,86263,38478,90874,34689,46190,47842,82628,44912,8327,5465,3522,4185,430,37
KonTum,2018/06/17,844981,07520,30957,44587,30987,26318,59108,72782,13641,58690,44584,52054,0670,1398,2500,9870,981,91
KonTum,2018/06/10,504976,75090,70674,42970,67690,02815,00235,98970,43245,23647,33983,13212,8636,1533,7225,0454,192,04
KonTum,2018/06/03,187087,53760,61969,63581,51145,87284,08954,97079,11750,83396,07029,60884,2300,8499,1108,6852,921,14
KonTum,2018/05/27,633605,12024,63299,13969,11001,96264,47723,45139,69590,82728,22163,41123,1487,8249,5951,1333,999,96
KonTum,2018/05/18,208845,45782,20508,40333,12995,82341,31935,59036,45744,47460,44069,94998,3809,4097,4677,9120,739,52
KonTum,2018/05/13,499153,84671,07584,13272,15477,59585,25148,01351,11517,81639,92274,87560,5103,1794,0840,3330,154,01
KonTum,2018/05/06,069958,83781,11352,99223,91119,27968,44461,09215,15345,09339,97009,44058,2044,2264,1406,3643,253,66
KonTum,2018/04/29,770403,20209,60266,33172,77473,57132,42695,64589,65648,77611,07755,53516,1783,6527,6571,6094,744,64
KonTum,2018/04/22,849946,81511,92937,70799,79502,36836,95001,37169,89467,37304,36575,00044,3357,6257,0495,8937,871,86
KonTum,2018/04/15,670780,05320,72135,43222,14320,43964,15639,46754,94680,29344,80311,16312,3955,8791,9951,8401,551,47
KonTum,2018/04/08,210223,41921,67821,36552,74016,17698,49106,79366,30657,25557,47586,64403,6265,5356,6536,1443,406,60
KonTum,2018/04/01,189393,63499,54572,36618,78426,48855,77163,01344,84121,22536,28800,01462,8094,4957,5797,7690,114,56
KonTum,2018/03/25,481949,87244,72577,74360,70353,06532,59656,47182,65420,70129,80072,64730,7881,2864,2799,1999,270,80
KonTum,2018/03/11,841936,20516,05133,70553,62400,78528,94119,80005,14348,61004,84571,49888,5783,9880,6444,7714,038,45
KonTum,2018/03/04,110580,12112,94072,83317,11792,06140,21662,96458,19522,69223,74350,69477,7657,1719,5873,4797,304,96
KonTum,2018/02/25,495127,43824,24842,08817,41780,42126,89615,96140,96107,54180,44458,02623,9132,9804,3922,5264,279,27
KonTum,2018/02/18,471914,50666,12189,34054,26179,06787,80383,53429,10977,74020,78942,97537,4622,5652,0007,3764,279,62
KonTum,2018/02/11,618268,28328,44330,37065,55151,60522,26516,23472,86476,39812,69982,32087,2222,2629,8308,4315,860,56
KonTum,2018/02/04,243296,66244,34357,97346,46727,43195,45954,58040,66712,04889,41057,16225,3132,3885,1431,7785,295,09
