"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
BacLieu,31/07/2018,800631,25115,12169,72792,27950,05373,67798,30326,80423,62748,89300,49537,7563,6963,7813,7111,224,24
BacLieu,24/07/2018,434473,44006,59069,75623,54440,33151,06909,86172,96165,20846,48449,63793,4870,3662,4744,9579,194,90
BacLieu,17/07/2018,259438,13964,00273,41178,00270,94158,30614,14058,84798,01947,57744,09617,3755,1804,9724,7784,266,45
BacLieu,10/07/2018,378725,54180,44056,93613,92445,06387,79323,07072,49181,52689,53786,54205,7633,1530,2355,9311,644,25
BacLieu,03/07/2018,329518,53970,20235,79092,57602,91648,48960,45161,08530,95728,05510,77216,2473,2048,1105,1318,796,32
BacLieu,26/06/2018,216490,75977,17785,56016,51843,50521,85272,41375,75736,53172,11953,89994,1828,5061,0477,1580,367,47
BacLieu,19/06/2018,546701,34032,46764,67901,05919,90313,72551,56272,16156,23558,65985,72002,7777,2701,0294,7835,335,26
BacLieu,12/06/2018,633621,02683,29053,43534,56309,96127,35578,49555,75823,48720,71739,86135,1418,2512,8214,1261,779,44
BacLieu,05/06/2018,554613,65136,08257,85741,26083,10955,64094,60249,24677,89610,59253,38548,6350,5447,4982,7232,926,35
BacLieu,29/05/2018,491504,81611,67866,29178,11998,18948,17488,17286,14577,69060,18670,56406,1166,3598,6468,3363,779,48
BacLieu,22/05/2018,946382,08742,44504,72461,18327,38567,43365,52398,18351,58634,61965,54313,4813,5218,3191,7013,357,39
BacLieu,15/05/2018,870719,41630,20959,52210,82044,06751,32335,27980,27472,35808,12066,82838,8770,0090,1091,2879,000,66
BacLieu,08/05/2018,921072,85851,04732,16120,29956,41892,86239,46011,25661,87280,38105,27863,1597,3643,9439,4043,488,44
BacLieu,01/05/2018,438860,15768,26212,45793,07406,67934,79609,63270,27150,04251,51261,61775,9561,1283,2497,2084,353,16
BacLieu,24/04/2018,149579,05080,90378,44231,37832,84902,22992,88442,55875,85235,67237,50141,7487,1253,2577,2678,260,56
BacLieu,17/04/2018,463071,90645,65364,02438,17347,08468,49671,20205,69006,31046,21559,73508,5688,1302,3477,0767,173,19
BacLieu,10/04/2018,561577,08259,09153,22420,03389,38593,23397,59596,46956,85350,00791,57158,5385,1927,0321,2118,913,19
BacLieu,03/04/2018,666508,76016,20207,99452,19264,72332,97106,08109,92261,39291,86624,73518,6644,9268,7931,0193,730,46
BacLieu,27/03/2018,904567,24391,27649,00017,87988,45788,46132,76450,62496,54646,78900,16520,9503,8124,3027,9737,289,58
BacLieu,20/03/2018,921720,86879,24365,97106,40709,78156,88826,83019,21266,85881,98823,80833,6343,7464,6037,7982,636,77
BacLieu,13/03/2018,378979,84816,97429,17186,08995,92316,51787,97798,52586,73708,67915,25505,8645,2563,1506,8901,931,47
BacLieu,06/03/2018,210385,24584,12045,61924,11563,96376,37271,94320,70598,20881,88388,79584,1818,2900,0245,2087,299,96
BacLieu,27/02/2018,872251,64178,07662,01000,14012,46246,81282,85552,19412,81113,04568,35149,6689,7738,3531,2873,771,73
BacLieu,20/02/2018,691047,11448,55627,18760,74628,28438,19477,36167,35732,08220,99740,61965,0133,5338,0470,8728,450,40
BacLieu,13/02/2018,850605,96215,41786,07595,53720,84809,07689,95444,19331,56609,31400,20388,1547,1075,8902,1129,182,01
BacLieu,06/02/2018,447534,46884,16539,36684,75049,43327,23839,95017,16107,00566,86553,70617,9955,4652,9732,2873,538,37
BacLieu,30/01/2018,770634,92644,13802,03618,20434,05718,55169,24298,76776,74705,61459,05162,3923,9725,7845,7912,684,40
BacLieu,23/01/2018,196320,17886,72639,97184,41624,61830,92477,81197,97518,39007,67729,54472,4433,4234,1793,1423,936,38
BacLieu,16/01/2018,543141,36041,13856,83635,88803,26955,12723,83477,36466,77942,92154,64282,5660,9532,7679,5755,221,76
BacLieu,09/01/2018,531323,11968,59684,25807,40652,97402,59325,86176,39670,39637,26031,21904,3022,6564,7271,4524,652,23
BacLieu,02/01/2018,380383,52660,95908,70775,20395,41139,37568,68626,22287,87327,89511,49017,4969,5322,7424,6081,483,01
BacLieu,26/12/2017,913292,00650,93856,09579,28391,93880,59464,36290,83739,90304,14871,60252,9022,0120,9760,9008,716,98
BacLieu,19/12/2017,705815,80468,91222,27354,34900,87483,68784,41090,92296,61060,43190,05335,0904,6592,1792,6726,464,27
BacLieu,12/12/2017,741261,98065,24210,85272,30349,87721,18821,40544,04647,88971,06549,40111,2780,7757,3350,9495,027,19
BacLieu,05/12/2017,737151,03392,19642,79701,93087,64620,01104,05137,92807,36262,64985,34841,8010,7538,2873,9129,156,84
BacLieu,28/11/2017,189771,06543,04245,35997,21063,14164,66322,82192,04383,45806,55104,47734,1176,3550,1894,3429,810,02
BacLieu,21/11/2017,995315,05361,35191,49734,47932,45430,78085,11810,12269,97563,47835,67323,5621,2753,1761,7604,044,78
BacLieu,14/11/2017,345710,05026,04665,71764,33435,44612,07040,48778,39189,41114,57706,46516,2999,9756,9350,3947,091,68
BacLieu,07/11/2017,592133,14188,00558,32138,69405,06654,80787,28121,40345,00056,55438,01570,7407,5053,9868,4658,979,14
BacLieu,31/10/2017,980678,18265,86713,76203,21502,60903,75231,87116,20830,13093,31710,85115,1607,1898,4417,9842,139,66
BacLieu,24/10/2017,860940,68610,98872,35920,24290,13527,78879,13565,42257,67828,60184,20553,2885,7131,9185,8836,713,84
BacLieu,17/10/2017,233664,83790,48612,96226,22832,81862,77092,78266,49732,97126,06934,69261,7262,1823,2055,4150,604,83
BacLieu,10/10/2017,051041,02637,21131,21858,29590,97753,96522,91339,05300,79701,10881,98039,3394,6442,7476,9651,919,01
BacLieu,03/10/2017,144293,71441,51937,85906,12384,69875,65791,93467,80535,46621,92509,60964,4689,2357,6341,4146,901,81
BacLieu,26/09/2017,839915,18271,08174,14704,71145,19792,79613,48041,94460,44828,25806,39482,0193,0225,5287,6613,858,40
BacLieu,19/09/2017,242628,87989,94713,92082,09093,06081,82017,92011,22270,91143,74593,48789,3375,8757,2086,3217,338,05
BacLieu,12/09/2017,133683,81821,72191,57856,14460,41837,68240,09974,97559,43101,27443,58950,4101,2153,7879,6750,289,33
BacLieu,05/09/2017,943871,75101,19257,39393,12676,13470,63696,75842,03495,02456,33197,03701,7660,5745,4374,0933,101,90
BacLieu,29/08/2017,514086,61645,20453,12169,30263,99364,37967,60656,87577,74268,53709,09810,0926,8087,5864,9074,004,17
BacLieu,22/08/2017,150768,05930,29430,60727,32099,58935,68810,22039,63591,61842,50370,04660,7153,7019,3567,7441,571,64
BacLieu,15/08/2017,434243,70215,48482,26643,44911,67694,78540,59803,11949,09597,57469,91374,1102,8511,3107,7585,626,40
BacLieu,01/08/2017,268430,09632,37810,35199,22063,14098,69164,24253,37698,75247,84689,30296,1983,3802,2650,3463,563,67
BacLieu,25/07/2017,656876,58741,68163,53266,70498,55147,73446,66005,63082,78414,60639,90577,8727,9319,0922,5020,939,61
BacLieu,18/07/2017,737666,99470,06582,85564,55213,23797,70426,56146,29233,97532,80423,14225,9789,8314,3091,6586,272,50
BacLieu,11/07/2017,737666,99470,06582,85564,55213,23797,70426,56146,29233,97532,80423,14225,9789,8314,3091,6586,272,50
BacLieu,04/07/2017,015586,42909,98212,27173,59338,83260,86032,40880,69964,68693,67691,18000,5136,5914,1318,7186,269,20
BacLieu,27/06/2017,062254,30134,73543,74697,58997,63702,93513,64381,17202,02838,74977,48141,4389,2708,7819,3071,842,40
BacLieu,20/06/2017,815444,06444,15978,78194,46558,71644,34925,79421,28110,06060,59354,74762,3061,6780,8655,3859,722,32
