"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
TraVinh,2018/07/06,524046,44025,99213,06978,88740,06863,51768,70183,68962,81431,49189,63425,0701,8744,4810,7922,191,94
TraVinh,2018/06/29,000066,73593,75712,42120,87157,94135,92199,76771,24611,80609,78794,77205,0202,0518,2478,4866,264,35
TraVinh,2018/06/22,976508,44515,09589,32568,66031,53095,04688,41943,47824,85948,61229,00876,2963,4316,2759,7737,638,63
TraVinh,2018/06/15,134177,89222,88409,61096,22467,51469,91170,22198,61333,93361,26267,06092,9686,1394,4109,4831,593,51
TraVinh,2018/06/08,256912,31861,60030,41549,83840,32047,06563,48612,42505,96522,47863,52970,8891,2800,6838,4472,828,53
TraVinh,2018/06/01,682264,18597,82978,43711,46392,97916,91029,08753,35279,17074,33611,38500,4760,4838,5243,4169,840,76
TraVinh,2018/05/25,277784,27914,54319,03808,43454,15207,38079,95421,44928,39125,01437,74905,8228,6133,9816,4274,024,15
TraVinh,2018/05/18,820545,20797,11408,89387,72525,42235,40800,96581,15130,46169,44271,26175,5866,3226,3244,3813,965,59
TraVinh,2018/05/11,822105,78858,23420,68794,07939,16617,64534,30356,46688,17038,75826,78697,0001,2533,5208,0365,409,56
TraVinh,2018/05/04,923726,67217,42977,51178,49533,16058,86081,49414,36669,85123,24924,33079,5251,4893,4984,5266,816,38
TraVinh,2018/04/27,516432,81081,57401,58742,37753,52980,22781,20584,72627,95549,30350,57112,3912,5543,2674,6127,778,27
TraVinh,2018/04/20,234284,17707,93440,20154,35708,36305,70160,50818,93192,59392,37026,15359,6234,6784,1601,7004,791,71
TraVinh,2018/04/13,599354,06957,14906,87568,00914,61742,76277,19082,38180,33230,56831,53940,2403,9497,8244,1393,542,26
TraVinh,2018/04/06,298011,54375,40529,35270,24478,44152,53954,39971,76638,40513,13344,78913,7569,8311,6997,8464,755,49
TraVinh,2018/03/30,653002,40318,78718,89478,79685,57176,56549,78316,12167,43054,04870,10401,2094,9808,6454,4433,450,37
TraVinh,2018/03/23,857364,68630,81377,11324,26754,87106,01361,90761,22221,03531,63534,84255,1999,7608,4750,8340,529,81
TraVinh,2018/03/16,763628,28984,31488,80066,32238,95100,12903,53220,01855,80317,43663,48073,7234,9881,3145,1038,782,05
TraVinh,2018/03/09,702647,32814,75278,30234,60941,20144,67995,75027,42571,92710,03303,28418,2335,6390,3237,4327,284,42
TraVinh,2018/03/02,197406,53123,18553,97202,33966,84530,66296,38416,44853,95120,35627,36377,2272,1507,9699,7916,002,15
TraVinh,2018/02/23,191556,89510,78310,09069,78020,66010,30182,49627,12209,07976,21778,76173,3642,9527,2386,8771,442,69
