"dai","ngay","giai_db","giai_1","giai_2","giai_31","giai_32","giai_41","giai_42","giai_43","giai_44","giai_45","giai_46","giai_47","giai_5","giai_61","giai_62","giai_63","giai_7","giai_8"
QuangNam,31/07/2018,731769,15273,92985,65299,77451,39012,62944,16602,76884,24500,59867,63130,1899,4930,0274,9790,568,55
QuangNam,24/07/2018,432864,38738,45192,29627,21229,03207,06816,21566,94951,78876,52496,28460,3613,5440,0458,6138,175,86
QuangNam,17/07/2018,459371,11017,00989,98562,54798,20203,46419,64351,43285,33691,10382,69239,6212,6737,4996,7334,903,13
QuangNam,10/07/2018,315686,00572,57856,87838,92288,59635,46079,63671,89154,58975,07018,91473,0771,5821,9532,7145,105,59
QuangNam,26/06/2018,191798,69595,70057,09294,48963,51297,14544,77082,12623,22293,47191,94039,5099,7742,2946,3201,016,28
QuangNam,19/06/2018,742694,02120,48966,09465,02631,60588,79839,80446,20399,43556,94334,65515,6582,4237,7227,2431,176,34
QuangNam,16/06/2018,413459,00337,69108,30173,00289,23525,25104,53136,71171,35902,55316,81146,5008,2267,6833,0879,329,57
QuangNam,12/06/2018,738221,27687,09958,33983,50773,77287,61615,46480,59942,21911,27473,49301,6482,9498,6286,3453,250,97
QuangNam,05/06/2018,767058,41235,60180,43425,69125,93918,30338,79324,46172,02094,57848,95622,0518,2563,1034,5282,614,80
QuangNam,29/05/2018,914104,03070,88693,16921,65696,27254,52227,94976,11090,27294,25001,34120,4158,2749,7602,7680,759,16
QuangNam,22/05/2018,272554,76790,06779,89705,01685,43876,37855,03777,19559,67487,21221,66576,9294,3242,2174,2455,827,92
QuangNam,15/05/2018,852766,51226,19717,22579,97353,47533,27819,02502,22994,30435,36321,21970,2658,0968,8065,9686,164,43
QuangNam,08/05/2018,420260,51335,30499,80483,51588,96160,30310,29053,50484,69446,83655,24323,7659,7515,9688,1086,970,96
QuangNam,01/05/2018,284443,47451,25761,97909,51532,05296,91893,43056,48608,08688,59210,77197,4121,2336,5583,3646,515,53
QuangNam,24/04/2018,730415,81683,91302,64299,84132,89404,23139,66894,71820,67206,97761,95877,4346,5991,0319,4333,386,47
QuangNam,17/04/2018,788549,27187,60288,07981,85158,07996,55128,24008,77747,58164,66250,43589,0477,8326,5097,4671,429,20
QuangNam,10/04/2018,993042,85831,64950,63195,23565,12358,86335,85479,22942,71465,98424,51155,8244,9223,5495,5760,776,32
QuangNam,03/04/2018,771346,28378,27194,49456,99346,16916,13413,11203,57261,22920,00438,32924,1135,6780,4945,2486,239,15
QuangNam,27/03/2018,226822,35060,69472,62216,41517,68994,71767,10891,37682,05685,17896,35644,5306,5697,1097,1434,145,69
QuangNam,20/03/2018,583867,01295,07958,04634,01870,01390,18528,60567,60164,71526,31435,07704,1867,1250,8256,9601,995,85
QuangNam,13/03/2018,664857,86888,31194,99812,88747,52308,35586,82054,35118,71790,94020,66080,6471,0728,6140,3458,397,46
QuangNam,06/03/2018,217867,14085,69298,34744,79473,48409,06381,43933,57208,53664,79751,43286,8559,3551,0418,5272,634,93
QuangNam,27/02/2018,736456,76645,44877,06848,46242,18364,02274,35225,36451,51819,85691,40616,8809,3802,2258,3101,971,48
QuangNam,20/02/2018,600274,60629,08208,59505,42239,54085,45043,34435,88757,68861,94019,51838,1062,7513,5159,6513,601,47
QuangNam,13/02/2018,725046,37088,30075,37327,20867,89176,76788,29993,76174,28913,85855,37554,7396,4507,7118,0241,413,73
QuangNam,06/02/2018,944235,36012,64363,16007,39606,08692,69406,34695,90671,36320,67596,94974,7631,6713,7891,0972,229,22
QuangNam,30/01/2018,060247,04246,11134,56580,30945,85843,66728,52915,71158,22846,59457,36061,0185,7674,8573,4459,826,77
QuangNam,23/01/2018,672593,92560,50189,99675,66131,12222,56653,49088,74593,46211,50129,41259,4306,9796,7783,4078,718,61
QuangNam,16/01/2018,322021,76626,83653,99462,35778,43646,61215,04866,62136,61591,64378,13870,6184,4454,8991,0138,768,45
QuangNam,09/01/2018,267343,74373,56666,47720,95035,34135,19686,17272,59279,10697,06769,96012,2058,1749,8750,6451,851,72
QuangNam,02/01/2018,665446,97451,69531,67238,56774,94981,58077,61171,88938,79183,15897,03089,5247,1310,4718,3972,325,03
QuangNam,26/12/2017,513321,21212,03863,36684,14562,67346,07692,56685,05620,87914,52591,95542,5820,5579,5529,6823,324,67
QuangNam,19/12/2017,380025,77558,35545,96318,40784,03693,03073,22500,68749,72805,65859,76101,5523,9645,1292,3381,553,52
QuangNam,12/12/2017,626720,62920,18612,97968,21307,40275,07164,47940,95287,44209,15384,51698,9870,9229,9989,5060,960,27
QuangNam,05/12/2017,244221,34583,55339,01817,86758,89914,41258,92463,34671,53623,12202,44445,8671,5430,8009,9950,744,68
QuangNam,28/11/2017,539593,17101,81479,60516,29793,25647,71519,51294,28558,51686,80385,50672,0582,8256,9541,4155,446,97
QuangNam,21/11/2017,655742,71524,67117,68370,69313,67255,08032,70513,71066,89048,75233,15281,7588,6554,4060,5140,420,23
QuangNam,14/11/2017,446716,97724,76659,38966,92971,38403,99082,51792,38856,67724,79147,96893,5954,4106,6654,9926,726,36
QuangNam,07/11/2017,237767,53347,33961,40652,43707,07157,49242,80391,66195,93310,51328,46816,0105,9149,7005,1665,723,44
QuangNam,31/10/2017,667397,94186,94268,45780,40667,75033,25715,86148,58288,79566,04620,09198,2240,3511,1164,7065,713,43
QuangNam,24/10/2017,191707,57187,18048,58217,34816,67362,62587,15243,43218,40842,86542,88015,7630,8238,6210,1552,341,35
QuangNam,17/10/2017,204042,77531,45757,91193,74576,94557,38207,71599,47072,51068,26292,77372,6794,8319,8658,9672,906,90
QuangNam,10/10/2017,728106,18669,36487,99702,10142,78152,12938,31963,57387,85146,04418,99395,4151,5367,7079,1938,817,03
QuangNam,03/10/2017,752503,82809,57343,02076,21300,75389,09235,25051,55529,81691,83161,92619,1745,5348,5039,6014,000,43
QuangNam,26/09/2017,334890,36872,43110,85393,08070,36579,23946,74694,83711,99565,42958,61310,3546,7066,9749,3178,264,68
QuangNam,19/09/2017,774738,62883,78770,91294,39959,36560,14803,99140,77115,56019,16059,62845,5257,9743,2204,9249,782,57
QuangNam,12/09/2017,987529,84222,36937,36862,77344,02925,53783,44289,69580,37604,03346,84058,3027,6265,5761,7857,216,91
QuangNam,05/09/2017,422655,34603,07723,81516,86996,95383,14765,87325,77897,12994,64471,48419,0883,0973,2781,8732,473,48
QuangNam,29/08/2017,645653,31461,46323,21079,62637,87225,69905,38381,91278,37707,69119,62759,5229,9479,8918,4475,490,35
QuangNam,22/08/2017,784402,07728,03986,55682,66840,19235,10589,42600,58781,81732,13475,57956,1209,7195,8992,8443,243,64
QuangNam,15/08/2017,500306,42099,77128,56610,76937,28901,61712,35649,84033,10933,68054,93713,8882,4098,7301,1372,301,79
QuangNam,01/08/2017,768976,68840,79554,71497,48423,97005,28932,42229,32877,02130,83319,87369,7613,5325,5261,4856,585,73
QuangNam,25/07/2017,839069,69005,51231,37797,71873,93195,10957,97279,45135,13093,83101,05020,3316,0922,1010,9641,372,78
QuangNam,18/07/2017,379557,10986,38727,19603,27087,70967,46938,00915,56958,74550,59374,61775,2754,0224,2437,7635,233,67
QuangNam,11/07/2017,538199,98135,77016,51538,91681,02530,48186,80770,74791,42255,69616,13906,3080,2587,0479,3498,569,70
QuangNam,04/07/2017,785999,12668,20394,01936,98497,69709,80592,31980,57214,04585,42697,02238,1630,6392,1970,9858,475,84
QuangNam,27/06/2017,653939,12725,90458,24719,58240,72581,11202,28218,47331,81024,36361,60920,6915,3606,2735,5127,676,72
QuangNam,20/06/2017,585375,20424,75225,09449,82085,36826,71419,38033,84970,13574,12833,48724,0857,8087,0299,5272,102,45
QuangNam,06/06/2017,454188,49844,12155,89414,21103,61209,31235,25793,19931,62803,19905,23690,8218,1630,4055,0963,449,41
QuangNam,30/05/2017,403421,10773,93303,78099,29655,59124,06258,29436,69252,71253,30304,04050,3343,8492,0703,8043,416,50
QuangNam,23/05/2017,646394,50992,91300,23289,69249,27450,96776,65663,40554,10079,87976,04378,6747,5715,5697,6538,676,28
QuangNam,16/05/2017,397565,07648,78924,66265,64630,65417,56950,13689,65151,04795,72942,15759,7961,3957,5912,6501,177,04
QuangNam,09/05/2017,312446,97265,64175,67314,49890,43630,84787,93611,64668,49939,12782,40191,7761,7385,0112,3721,318,50
QuangNam,02/05/2017,408734,65399,44086,52352,08655,64704,07195,53178,27529,17526,52598,24913,5339,3034,9962,3345,515,60
QuangNam,25/04/2017,367740,14084,56058,62301,82106,23687,53224,29684,24504,40088,00264,13378,4374,1427,3504,7144,653,01
QuangNam,18/04/2017,195068,91126,51171,25606,53715,10170,88108,66678,13204,48183,54942,81794,0565,2445,0785,3273,610,85
QuangNam,11/04/2017,904791,09595,49749,07020,09170,19992,51670,63713,99759,16953,58131,75388,8170,5286,7973,9071,263,83
QuangNam,04/04/2017,157375,49641,42326,36953,93371,83515,08518,08812,30181,92344,05306,10904,0843,1579,2917,2477,970,00
QuangNam,28/03/2017,06227,80825,83011,65790,93999,28484,18286,98892,70552,40151,88441,85100,8984,0999,9218,4190,509,79
QuangNam,21/03/2017,56056,12033,37971,95048,34620,20445,09144,21381,32822,26555,77744,70844,8758,2121,4559,9552,232,84
QuangNam,14/03/2017,08627,32250,42214,81723,72818,82656,07538,39623,92589,73491,42269,04911,1659,7960,5225,9451,604,62
QuangNam,07/03/2017,80258,36958,72018,35365,06057,80814,03566,89530,91899,45377,91765,84586,3198,0953,6401,3329,887,02
QuangNam,28/02/2017,34510,58385,22249,88979,11367,99524,26966,55544,75500,38704,58245,86620,7806,8661,6615,6981,661,45
QuangNam,21/02/2017,60491,28980,16737,41345,30633,77722,75674,92697,25672,77246,61688,11263,5195,1935,6040,1772,047,47
QuangNam,14/02/2017,80409,21859,15209,04752,72360,53339,37434,04617,74558,05799,14484,86826,2952,0726,6012,5622,791,59
QuangNam,07/02/2017,53638,51536,68829,15278,37517,61110,90746,94923,01703,47330,18356,72065,2063,2057,3990,4227,089,86
QuangNam,31/01/2017,84293,29555,86779,12729,05367,87123,13044,05888,20422,59109,81068,33361,3717,0966,0365,3987,179,49
QuangNam,24/01/2017,61321,06855,37750,93102,42015,36918,39596,17355,22780,89531,49292,45309,6451,0279,9756,3579,202,65
QuangNam,17/01/2017,38868,52318,75826,47777,15942,28346,55936,31408,00305,77860,70610,90985,0760,9264,2561,2515,081,05
QuangNam,10/01/2017,14607,79571,19766,77987,07230,08633,77063,25034,27441,89068,42872,11970,5520,1694,4189,4778,896,93
